hotel_name,hotel_features
Park Plaza London Park Royal,"With excellent transport links, Park Plaza London Park Royal is ideal for business travellers seeking efficiency and comfort. The hotel is well connected to the rail network and London’s international airports. Wembley Stadium and the SSE Arena are on the doorstep, the City and London’s commercial areas are a short tube ride away, and the hotel is close to the major motorways. The hotel’s 212 guest rooms include 48-inch smart LED TVs, walk-in showers, Elemis bathroom amenities and complimentary high-speed Wi-Fi. The restaurant serves breakfast, lunch and dinner, while the bar offers great wines, beers and cocktails. The fitness centre includes cardio and resistance machines, and the above-ground car park has space for 40 vehicles."
Ibis London Canning Town,"Awake refreshed from the best night's sleep ever in your Sweet Bed, then head down for a hearty breakfast that'll set you up for whatever lies ahead. After your day's adventures, come back for a pre-dinner drink at Chill #08: our very own café bar. Relaxed by name and nature, we serve up artisan coffees and delectable mains (including lip-smacking pizzas) to suit all tastes and appetites. A sprightly 20-minute tube journey from Central London, our hotel offers easy access to everything you need. Heading for a conference? We're handily close to both the O2 and ExCeL, and both Jubilee and DLR lines await over the road at Canning Town tube station. If you're driving in, you'll find us easily from the M11, just off the A13. London City Airport is less than four miles away and if you're coming by coach, two stops on the Jubilee will take you to London Stratford Coach Station."
The Z Hotel City,"Z CITY has everything you need for a couple of nights in town. Concentrated style, an out-of-town price, in the city of London. No off-central, tourist hotels for you. The hotel is a designer conversion of a former office building, with 109 bedrooms arranged over lower ground, ground and five upper floors. Z City is situated within the area of Temple, right opposite the Royal Courts of Justice."
Hotel 55,"Hotel 55 is a 29 room 4 Star boutique hotel just a minute walk from North Ealing Tube Station. Stylish accommodation with free internet only 20 minutes from central London by underground. Each air-conditioned room at Hotel 55 features a flat-screen TV with free-view and a Nespresso Coffee Machine. Continental breakfast is served daily. Our guests can also enjoy a drink in the elegant 24-hour lounge bar. Wembley Stadium and Kew gardens are both within a 3-mile radius of Hotel 55. M4 is a 10-minute drive and there is limited parking available, on a first come first served basis. We are not currently serving breakfast and we do not have a bar service. These services will be back as soon as possible."
Ibis London Shepherds Bush - Hammersmith Hotel,"We are now open and ready to welcome you in our hotel with extra measures and cleaning procedures to protect our guests, colleagues and contractors."
Brit Hotels London Court,London Court Hotel boasts 21 tastefully furnished stylish en suite bedrooms which are fully equipped with all the amenities making them an ideal choice for accommodation for leisure and business travelers. We at the London Court Hotel are proud of our helpful and knowledgeable staff who are always at hand should you need advice on where to go and what to do within easy reach of our small boutique hotel.
The Mad Hatter Hotel,"See why so many travelers make The Mad Hatter Hotel their hotel of choice when visiting London. Providing an ideal mix of value, comfort and convenience, it offers a quaint setting with an array of amenities designed for travelers like you. Free wifi is offered to guests, and rooms at Mad Hatter Hotel offer a flat screen TV. During your stay, take advantage of some of the amenities offered, including a 24 hour front desk, room service, and baggage storage. Guests of The Mad Hatter Hotel are also welcome to enjoy a lounge, located on site. Close to some of London's most popular landmarks, such as Tower of London (1.2 mi) and Buckingham Palace (1.6 mi), The Mad Hatter Hotel is a great destination for tourists. While in London, you may want to check out some of the restaurants that are a short walk away from Mad Hatter Hotel, including Coppa Club - Tower Bridge (1.1 mi), Flat Iron Covent Garden (0.9 mi), and Aqua Shard (0.8 mi). London is also known for some great ancient ruins, including London's Roman Amphitheatre, Billingsgate Roman Bath House, and London Wall, which are not too far from The Mad Hatter Hotel. We’re sure you’ll enjoy your stay at The Mad Hatter Hotel as you experience all of the things London has to offer. Close to some of London's most popular landmarks, such as Up at The O2 (1.7 mi) and Crossrail Place Roof Garden (2.4 mi), Hampton by Hilton London Docklands is a great destination for tourists. Travelers looking to enjoy some lobster can head to ROKA Canary Wharf, Plateau, or Goodman Canary Wharf. Otherwise, you may want to check out a Spanish restaurant such as Tapa Tapa, TapaVino, or Manzanos Latin American Bistro. Plus, during your trip, don’t forget to check out some of the popular ancient ruins, such as London's Roman Amphitheatre, Billingsgate Roman Bath House, and London Wall. Whether you’re traveling for business, pleasure or both, Hampton by Hilton London Docklands is sure to make your visit to London one worth remembering."
DoubleTree by Hilton London Greenwich,"Located in Royal Greenwich, DoubleTree By Hilton London Greenwich is just a 15 minute walk from the Cutty Sark, Maritime Museum and near the O2 Arena. Close to Canary Wharf, Excel Exhibition Centre and with great transport links to Central London, this London Hotel is easily accessible via the DLR from Greenwich station and is near to Greenwich Market and the observatory. This 4* hotel offers free wi-fi in all bedrooms, the restaurant and bar. Use of the hotel gym is free for all guests."
The Lion & Key Hotel,"The Lion and Key Hotel offers accommodation in Leyton, 1.5 miles from the Olympic Village in Stratford. Rooms at the hotel feature a modern design with a private bathroom, flat-screen TVs, complimentary tea and coffee making facilities, a hairdryer and a minibar. The property offers guests 24-hour room service and luggage storage facilities for those that want to explore the capital as soon as they arrive. The Lion & Key Hotel is less than 1 hour from the Natural History Museum, Science Museum and the Royal Albert Hall. Guests can enjoy shopping at the Westfield Stratford City shopping mall, which is 2 miles from the hotel. Central London and its theatres and galleries can be reached in 50 minutes via public transport. The nearest airport is London City Airport, 5 miles from the property. The closest tube station is Leyton, served by the Central line and Leyton Midland Road rail station, which is over 10 minutes' walk away."
The Captain Cook,"Finding an ideal romantic inn in London does not have to be difficult. Welcome to The Captain Cook, a nice option for travelers like you. Nearby landmarks such as Holland Park (1.5 mi) and South Kensington (1.6 mi) make The Captain Cook a great place to stay when visiting London. Rooms at The Captain Cook offer a flat screen TV, extra long beds, and a desk providing exceptional comfort and convenience, and guests can go online with free wifi. Baggage storage is one of the conveniences offered at this inn. A lounge will also help to make your stay even more special. If you are driving to The Captain Cook, parking is available. Travelers looking to enjoy some souvlaki can head to Santorini Restaurant, It's all Greek to me, or Halepi. Otherwise, you may want to check out an Asian restaurant such as Zuma London, Nobu London, or A.Wong. If you’re looking for things to do, you can check out Chelsea FC Stadium Tour & Museum (0.9 mi), Tardis Police Box (1.1 mi), or Garden Lodge Queen, Londra (1.1 mi), which are popular attractions amongst tourists, and they are all within walking distance. The Captain Cook looks forward to welcoming you on your visit to London."
Pelican London Hotel and Residence,"Situated in a quiet area next to St Georges Hospital, Pelican London Hotel and Residence features an in-house Thai and Western grill restaurant and bar which serves breakfast, lunch and dinner. Each room features free WiFi, an en-suite bathroom, laptop safe, hair dryer, iron & iron board, air conditioning, electronic locks and a flat-screen TV. Guests will also benefit from a 24-hour front desk, concierge and meeting facilities. Tooting Broadway Tube station is just a 12-minute walk away and the local area has a variety of high-street shops. Central London can be reached in 25 minutes via Tube from Tooting Broadway station. Wimbledon station is just 10 minutes drive. A Brand New Hotel welcomes you"
The Hide London,"Providing an ideal mix of value, comfort and convenience, it offers a boutique setting with an array of amenities designed for travelers like you. Rooms at The Hide London Hotel offer a flat screen TV, air conditioning, and a refrigerator providing exceptional comfort and convenience, and guests can go online with free wifi. A 24 hour front desk is one of the conveniences offered at this hotel. Free breakfast will also help to make your stay even more special. If you are driving to The Hide London Hotel, free parking is available. Close to some of London's most popular landmarks, such as Brent Reservoir (Welsh Harp) Canalside (1.7 mi) and City Hall (2.0 mi), The Hide London is a great destination for tourists. London has plenty of Mediterranean restaurants. So when you’re here, be sure to check out popular spots like Hummus Bar, Lambo Bar And Restaurant, and The House, which are serving up some great dishes. Should time allow, London's Roman Amphitheatre, Billingsgate Roman Bath House, and London Wall are some popular ancient ruins that are relatively easy to get to. We’re sure you’ll enjoy your stay at The Hide London as you experience all of the things London has to offer."
Kensington Gardens Hotel,"Kensington Gardens Hotel is a 17 bedroom 2 star central London hotel, located 5 minutes walk from Hyde Park. Bayswater and Queensway underground stations are both within a few minutes walking distance. The hotel is centrally situated for both the business executive and the holiday-maker, with the West End and its shops and theatres within easy reach. Free Wi-Fi is always included when making a reservation with Kensington Gardens Hotel. Check-in time is from 1 pm onward. There is a complimentary luggage storage facility at the hotel. Reception is manned from 8 am to 5 pm. The reception at Phoenix hotel, next door at 1-8 Kensington Gardens Square, will assist during other hours."
Lansbury Heritage Hotel,"Canary Wharf’s only heritage hotel Welcome to the Lansbury Heritage Hotel, a boutique luxury hotel located just a short walk from London’s iconic Canary Wharf and with fast transport links to all of the capital’s main attractions. Business and tourist guests arrive to an oasis of calm created in a beautifully restored historic Grade II listed building that combines modern style and luxury with a sense of place and distinguished grandeur. Surrounded by leafy churchyards and Grade I listed buildings, this landmark heritage hotel has a rich and fascinating history – from the East India Company building its first chapel and almshouses on the site in 1628 to the famous Labour politicians standing up for the poor of East London in the 1890s. With its landmark octagonal domed tower, the hotel is the centre point of this highly protected conservation area – surprisingly in its proximity to Canary Wharf – and provides a welcome retreat from the constant rush hour of international business on its doorstep."
Premier Inn London Hanger Lane Hotel,"With underground services into town taking just 25 minutes from Hanger Lane and Park Royal stations, Premier Inn Hanger Lane is a smart choice for West End sightseeing. It also does the business perfectly if you've meetings locally in Park Royal or Ealing. Get on side for international football at the impressive new Wembley Stadium. Or catch top shows at the Arena and Conference Centre. Park Royal Leisure meanwhile offers a great evening out at its Ten-Pin Bowling and digital multiscreen. And, after a day's work or play, return to the peace and quiet of your spacious room and comfy bed."
hub by Premier Inn London Westminster Abbey,"Westminster is buzzing with stories to tell - from the Gothic grandeur of Westminster Abbey to the dazzling Buckingham Palace. Here it's all at your feet, from the city's most famous landmarks to slick drinking dens and some gloriously green spaces. From convenient touchscreen controls that let you control your room's lighting and temperature, to inviting double beds and high-spec en-suite bathrooms, sleek pull-out desks and plenty of under-bed storage, our stylish, compact rooms are cleverly designed around you. Catch up with friends online or watch the latest blockbuster movies through your 40"" smart TV. Stay connected with super-fast, free Wi-Fi*, and experience the city at your fingertips. There's a choice of two room types at this hub hotel - Standard and Bigger."
hub by Premier Inn London King's Cross,"There's loads more to Kings Cross than trains and platforms. With 150 years of industrial heritage, it's now an energetic new city quarter bursting with cool creative spaces, gig venues and secret bars, making it a favourite for work and play. From convenient touchscreen controls that let you control your room's lighting and temperature, to inviting double beds and high-spec en-suite bathrooms, sleek pull-out desks and plenty of under-bed storage, our stylish, compact rooms are cleverly designed around you. Catch up with friends online or watch the latest blockbuster movies through your 40"" smart TV. Stay connected with super-fast, free Wi-Fi*, and experience the city at your fingertips. There's a choice of two room types at this hub hotel - Standard and Bigger"
